file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fsl_fine__len5_shot15_few_shot_15_2021-11-05-02-14, 39.4293, 42.1053, 37.0732, 72.0994, 73.9377, 70.3504, 
fsl_fine__len5_shot1_few_shot_1_2021-11-05-02-14, 0.7722, 0.6791, 0.8949, 6.016, 4.0462, 11.7225, 
fsl_fine__len5_shot2_few_shot_2_2021-11-05-02-14, 9.7826, 13.4831, 7.6759, 34.4916, 37.9603, 31.6038, 
fsl_fine__len5_shot5_few_shot_5_2021-11-05-02-14, 27.0859, 31.1111, 23.9829, 55.8862, 59.3407, 52.8117, 
fsl_prefix_--is_knowledge_len5_shot10_few_shot_10_2021-11-04-09-00, 2.3762, 9.0909, 1.3667, 33.4884, 40.4494, 28.5714, 
fsl_prefix_--is_knowledge_len5_shot10_few_shot_10_2021-11-05-02-14, 2.3762, 9.0909, 1.3667, 33.4884, 40.4494, 28.5714, 
fsl_prefix_--is_knowledge_len5_shot15_few_shot_15_2021-11-04-09-00, 5.8027, 14.0187, 3.6585, 46.395, 55.4307, 39.8922, 
fsl_prefix_--is_knowledge_len5_shot15_few_shot_15_2021-11-05-02-14, 5.8027, 14.0187, 3.6585, 46.395, 55.4307, 39.8922, 
fsl_prefix_--is_knowledge_len5_shot1_few_shot_1_2021-11-04-02-58, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--is_knowledge_len5_shot1_few_shot_1_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--is_knowledge_len5_shot1_few_shot_1_2021-11-05-02-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--is_knowledge_len5_shot1_few_shot_1_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--is_knowledge_len5_shot2_few_shot_2_2021-11-04-09-00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--is_knowledge_len5_shot2_few_shot_2_2021-11-05-02-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--is_knowledge_len5_shot2_few_shot_2_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--is_knowledge_len5_shot5_few_shot_5_2021-11-04-09-00, 0.0, 0.0, 0.0, 3.4351, 7.8261, 2.2005, 
fsl_prefix_--is_knowledge_len5_shot5_few_shot_5_2021-11-05-02-14, 0.0, 0.0, 0.0, 3.4351, 7.8261, 2.2005, 
fsl_prefix_--no_module_len5_shot10_few_shot_10_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--no_module_len5_shot15_few_shot_15_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--no_module_len5_shot1_few_shot_1_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
