file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fslw_both_--is_knowledge_len5_shot1_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot2_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot5_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_fine_--is_knowledge_len5_shot10_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 1.9204, 4.1176, 1.2522, 
fslw_fine_--is_knowledge_len5_shot15_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 3.6269, 6.3927, 2.5316, 
fslw_fine_--is_knowledge_len5_shot1_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_fine_--is_knowledge_len5_shot2_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_fine_--is_knowledge_len5_shot5_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot10_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot15_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot1_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot2_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot5_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
