file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
source_oovw_both_--is_knowledge_len20_zslw_oov_2021-11-15-02-59, 11.465, 19.1489, 8.1818, 18.4211, 30.4348, 13.2075, 
source_oovw_both_--is_knowledge_len20_zslw_oov_2021-11-15-03-36, 11.465, 19.1489, 8.1818, 18.4211, 30.4348, 13.2075, 
source_oovw_both__len20_zslw_oov_2021-11-15-03-36, 8.2759, 17.1429, 5.4545, 15.493, 30.5556, 10.3774, 
source_oovw_fine__len20_zslw_oov_2021-11-15-03-36, 6.3492, 25.0, 3.6364, 11.3821, 41.1765, 6.6038, 
source_oovw_prefix_--is_knowledge_len20_zslw_oov_2021-11-15-03-36, 0.0, 0.0, 0.0, 10.8844, 19.5122, 7.5472, 
source_oovw_prefix__len20_zslw_oov_2021-11-15-03-36, 7.6087, 9.4595, 6.3636, 15.7635, 16.4948, 15.0943, 
