file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
source_oov_prefix_--is_knowledge_len20_zsl_oov_2021-11-14-03-24, 24.7423, 24.0, 25.5319, 53.6585, 51.1628, 56.4103, 
source_oovw_both_--is_knowledge_len20_zslw_oov_2021-11-14-03-02, 0.0, 0.0, 0.0, 6.7227, 30.7692, 3.7736, 
source_oovw_both_--is_knowledge_len20_zslw_oov_2021-11-14-03-24, 0.0, 0.0, 0.0, 6.7227, 30.7692, 3.7736, 
source_oovw_both__len20_zslw_oov_2021-11-14-03-02, 14.1176, 20.0, 10.9091, 21.118, 30.9091, 16.0377, 
source_oovw_both__len20_zslw_oov_2021-11-14-03-24, 14.1176, 20.0, 10.9091, 21.118, 30.9091, 16.0377, 
source_oovw_fine__len20_zslw_oov_2021-11-14-03-24, 3.3333, 20.0, 1.8182, 1.7699, 14.2857, 0.9434, 
source_oovw_prefix_--is_knowledge_len20_zslw_oov_2021-11-14-03-24, 0.0, 0.0, 0.0, 6.0086, 5.5118, 6.6038, 
source_oovw_prefix__len20_zslw_oov_2021-11-14-03-24, 10.4712, 12.3457, 9.0909, 22.4299, 22.2222, 22.6415, 
