file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
cross_sl_AR_EN_SL_adapter__len20_AR_EN_SL_2022-01-11-01-42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
cross_sl_AR_EN_SL_both_--is_knowledge_len20_AR_EN_SL_2022-01-11-01-42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
cross_sl_AR_EN_SL_both__len20_AR_EN_SL_2022-01-11-01-42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
cross_sl_AR_EN_SL_both_adapter__len20_AR_EN_SL_2022-01-11-01-42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
cross_sl_AR_EN_SL_prefix_--is_knowledge_len20_AR_EN_SL_2022-01-11-01-42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
cross_sl_AR_EN_SL_prefix__len20_AR_EN_SL_2022-01-11-01-42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
