file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fslr_both_--is_knowledge_len5_shot2_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_both_--is_knowledge_len5_shot5_rams_2021-11-07-03-19, 0.201, 0.565, 0.1222, 1.8824, 1.6667, 2.1622, 
fslr_both__len5_shot10_rams_2021-11-07-03-19, 16.7123, 19.1523, 14.8238, 40.5797, 39.5887, 41.6216, 
fslr_both__len5_shot15_rams_2021-11-07-03-19, 16.0162, 17.3469, 14.875, 44.2988, 43.0025, 45.6757, 
fslr_both__len5_shot1_rams_2021-11-07-03-19, 0.4324, 1.8018, 0.2457, 0.7353, 0.6726, 0.8108, 
fslr_both__len5_shot2_rams_2021-11-07-03-19, 2.0443, 3.2086, 1.5, 4.1804, 3.525, 5.1351, 
fslr_both__len5_shot5_rams_2021-11-07-03-19, 8.3849, 9.5761, 7.4572, 19.928, 17.9266, 22.4324, 
fslr_both_adapter__len5_shot10_rams_2021-11-07-03-19, 17.585, 16.9875, 18.226, 42.838, 42.4403, 43.2432, 
fslr_both_adapter__len5_shot15_rams_2021-11-07-03-19, 15.199, 14.6853, 15.75, 45.9495, 45.1697, 46.7568, 
fslr_both_adapter__len5_shot1_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 1.6327, 1.6438, 1.6216, 
fslr_both_adapter__len5_shot2_rams_2021-11-07-03-19, 2.7643, 3.0912, 2.5, 8.7516, 8.3538, 9.1892, 
fslr_both_adapter__len5_shot5_rams_2021-11-07-03-19, 6.3195, 6.0606, 6.6015, 21.8709, 21.3368, 22.4324, 
fslr_fine__len5_shot10_rams_2021-11-07-03-19, 16.8573, 16.7064, 17.0109, 42.915, 42.8571, 42.973, 
fslr_fine__len5_shot15_rams_2021-11-07-03-19, 15.5097, 15.5194, 15.5, 45.3333, 44.7368, 45.9459, 
fslr_fine__len5_shot1_rams_2021-11-07-03-19, 0.5747, 1.3043, 0.3686, 1.9048, 1.9178, 1.8919, 
fslr_fine__len5_shot2_rams_2021-11-07-03-19, 2.6989, 3.125, 2.375, 6.4593, 5.794, 7.2973, 
fslr_fine__len5_shot5_rams_2021-11-07-03-19, 7.4292, 7.1754, 7.7017, 21.9545, 21.7507, 22.1622, 
fslr_prefix_--is_knowledge_len5_shot10_rams_2021-11-07-03-19, 0.8368, 3.0075, 0.486, 6.4516, 6.4171, 6.4865, 
fslr_prefix_--is_knowledge_len5_shot15_rams_2021-11-07-03-19, 4.176, 5.1756, 3.5, 12.4844, 11.6009, 13.5135, 
fslr_prefix_--is_knowledge_len5_shot1_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--is_knowledge_len5_shot2_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--is_knowledge_len5_shot5_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix__len5_shot10_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.292, 0.3175, 0.2703, 
fslr_prefix__len5_shot15_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.2981, 0.3322, 0.2703, 
fslr_prefix__len5_shot1_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix__len5_shot2_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.6126, 0.7067, 0.5405, 
fslr_prefix__len5_shot5_rams_2021-11-07-03-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot1_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot2_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot10_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot15_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot1_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot2_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot5_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix__len5_shot10_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.9693, 5.0, 0.5367, 
fslw_prefix__len5_shot1_wikievents_2021-11-07-04-03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix__len5_shot2_wikievents_2021-11-07-04-03, 0.2845, 33.3333, 0.1429, 1.4306, 4.9505, 0.8361, 
zsl_fine__len5_oneie_23_training_2021-11-05-01-47, 19.0083, 37.7049, 12.7072, 28.7179, 62.2222, 18.6667, 
