file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
target_both_shot-1_oneie_1_ft__sourcedata-few-shot_23_test_10_2021-11-13-10-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_both_shot-1_oneie_1_ft__sourcedata-few-shot_23_test_10_2021-11-13-11-26, 5.4264, 9.0909, 3.8674, 13.6364, 15.7895, 12.0, 
target_both_shot-1_oneie_1_ft__sourcedata-oneie_23_training_2021-11-12-22-59, 12.9353, 18.5714, 9.9237, 18.3784, 25.3731, 14.4068, 
target_both_shot-1_oneie_1_ft__sourcedata-oneie_23_training_2021-11-13-09-57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_prefix_shot-1_oneie_1_ft__sourcedata-few-shot_23_test_10_2021-11-13-10-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
target_prefix_shot-1_oneie_1_ft__sourcedata-few-shot_23_test_10_2021-11-13-11-26, 0.0, 0.0, 0.0, 15.3846, 19.5876, 12.6667, 
target_prefix_shot-1_oneie_1_ft__sourcedata-oneie_23_training_2021-11-12-22-59, 12.9353, 18.5714, 9.9237, 18.3784, 25.3731, 14.4068, 
target_prefix_shot-1_oneie_1_ft__sourcedata-oneie_23_training_2021-11-13-09-57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
